Format Version,1.23,Take Name,Take 2025-12-17 06.57.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.57.16.807 PM,Capture Start Frame,10915629,Total Frames in Take,40845,Total Exported Frames,40845,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036
,ID,"1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
356,2.967000,2.054973,0.194667,-0.985593,,,
357,2.975000,2.054993,0.194650,-0.985614,,,
358,2.983000,2.054995,0.194683,-0.985588,,,
359,2.992000,2.055005,0.194651,-0.985629,,,
360,3.000000,2.055015,0.194680,-0.985579,,,
361,3.008000,2.055032,0.194641,-0.985576,,,
362,3.017000,2.054986,0.194660,-0.985607,,,
363,3.025000,2.054998,0.194654,-0.985545,,,
364,3.033000,2.055006,0.194652,-0.985579,,,
365,3.042000,2.054980,0.194685,-0.985584,,,
366,3.050000,2.054987,0.194677,-0.985571,,,
367,3.058000,2.054980,0.194670,-0.985606,,,
368,3.067000,2.054969,0.194707,-0.985576,,,
369,3.075000,2.054978,0.194693,-0.985603,,,
370,3.083000,2.054961,0.194670,-0.985568,,,
371,3.092000,2.054989,0.194665,-0.985567,,,
372,3.100000,2.054977,0.194658,-0.985623,,,
373,3.108000,2.054990,0.194679,-0.985571,,,
374,3.117000,2.055010,0.194658,-0.985633,,,
375,3.125000,2.055002,0.194659,-0.985604,,,
376,3.133000,2.055022,0.194664,-0.985575,,,
377,3.142000,2.055006,0.194650,-0.985588,,,
378,3.150000,2.054981,0.194671,-0.985551,,,
379,3.158000,2.054997,0.194657,-0.985589,,,
380,3.167000,2.054991,0.194669,-0.985581,,,
381,3.175000,2.054970,0.194664,-0.985563,,,
382,3.183000,2.054978,0.194646,-0.985606,,,
383,3.192000,2.054961,0.194664,-0.985552,,,
384,3.200000,2.054971,0.194668,-0.985591,,,
385,3.208000,2.054963,0.194660,-0.985572,,,
386,3.217000,2.054975,0.194679,-0.985558,,,
387,3.225000,2.054962,0.194658,-0.985618,,,
388,3.233000,2.054970,0.194651,-0.985581,,,
389,3.242000,2.055001,0.194661,-0.985625,,,
390,3.250000,2.055004,0.194670,-0.985605,,,
391,3.258000,2.055013,0.194666,-0.985585,,,
392,3.267000,2.055004,0.194661,-0.985616,,,
393,3.275000,2.054992,0.194652,-0.985576,,,
394,3.283000,2.054992,0.194658,-0.985603,,,
395,3.292000,2.054975,0.194686,-0.985588,,,
396,3.300000,2.054984,0.194681,-0.985571,,,
397,3.308000,2.054971,0.194676,-0.985595,,,
398,3.317000,2.054963,0.194681,-0.985585,,,
399,3.325000,2.054962,0.194672,-0.985607,,,
400,3.333000,2.054938,0.194656,-0.985598,,,
401,3.342000,2.054936,0.194669,-0.985607,,,
402,3.350000,2.054964,0.194666,-0.985641,,,
403,3.358000,2.054967,0.194682,-0.985586,,,
404,3.367000,2.054967,0.194637,-0.985621,,,
405,3.375000,2.054959,0.194623,-0.985611,,,
406,3.383000,2.054972,0.194644,-0.985591,,,
407,3.392000,2.054968,0.194655,-0.985634,,,
408,3.400000,2.054961,0.194669,-0.985563,,,
409,3.408000,2.055011,0.194697,-0.985591,,,
410,3.417000,2.054976,0.194672,-0.985561,,,
411,3.425000,2.054987,0.194691,-0.985560,,,
412,3.433000,2.054971,0.194681,-0.985597,,,
413,3.442000,2.054965,0.194671,-0.985570,,,
414,3.450000,2.054968,0.194697,-0.985591,,,
415,3.458000,2.054948,0.194671,-0.985585,,,
416,3.467000,2.054950,0.194675,-0.985569,,,
417,3.475000,2.054979,0.194669,-0.985587,,,
418,3.483000,2.054971,0.194690,-0.985564,,,
419,3.492000,2.054999,0.194661,-0.985608,,,
420,3.500000,2.054997,0.194691,-0.985583,,,
421,3.508000,2.055012,0.194680,-0.985569,,,
422,3.517000,2.054988,0.194678,-0.985575,,,
423,3.525000,2.054962,0.194667,-0.985589,,,
424,3.533000,2.055013,0.194675,-0.985587,,,
425,3.542000,2.054957,0.194671,-0.985608,,,
426,3.550000,2.054971,0.194657,-0.985555,,,
427,3.558000,2.054970,0.194660,-0.985601,,,
428,3.567000,2.054968,0.194671,-0.985568,,,
429,3.575000,2.054962,0.194676,-0.985605,,,
430,3.583000,2.054953,0.194659,-0.985605,,,
431,3.592000,2.054943,0.194669,-0.985608,,,
432,3.600000,2.054977,0.194649,-0.985654,,,
433,3.608000,2.054987,0.194659,-0.985605,,,
434,3.617000,2.054998,0.194658,-0.985615,,,
435,3.625000,2.055017,0.194646,-0.985626,,,
436,3.633000,2.055021,0.194647,-0.985556,,,
437,3.642000,2.055005,0.194659,-0.985578,,,
438,3.650000,2.055005,0.194661,-0.985576,,,
439,3.658000,2.055010,0.194679,-0.985572,,,
